Company Name,# Employees,Website,Company Linkedin Url
Tech Bridge Recruiting LTD,1,http://www.techbridgerecruiting.com,http://www.linkedin.com/company/tech-bridge-recruiting-ltd
Pertemps ERP (part of Network EMEA),120,,http://www.linkedin.com/company/pertemps-erp
Marcus Donald People,17,http://www.marcusdonald.com,http://www.linkedin.com/company/marcusdonald
Mentmore,18,http://www.mentmore.com,http://www.linkedin.com/company/mentmore-recruitment
Recruitment Renewed,1,http://www.recruitmentrenewed.com,http://www.linkedin.com/company/recruitment-renewed
JPS Resourcing Limited,1,http://www.jpsresourcing.com,http://www.linkedin.com/company/jps-resourcing-limited
IKOYENIA GROUP,2,http://www.ikoyenia.com.au,http://www.linkedin.com/company/ikoyenia-group
Apps IT Limited,71,http://www.appsit.com,http://www.linkedin.com/company/apps-it
E-Resourcing Ltd - Specialist I.T. Recruitment,19,http://www.e-resourcing.com,http://www.linkedin.com/company/e-resourcing-ltd
CloudTech Associates Limited,2,http://www.cloudtechassociates.co.uk,http://www.linkedin.com/company/cloudtech-associates
Emittance UK Limited,3,http://www.emittancehire.com,http://www.linkedin.com/company/emittance-hire
Global Tech Collective Ltd,2,http://www.globaltechcollective.com,http://www.linkedin.com/company/global-tech-collective-ltd
TALISS,2,http://www.talissconsulting.com,http://www.linkedin.com/company/taliss
Datta recruitment consulting Ltd,2,http://www.dattarecruitmentconsultancy.uk,http://www.linkedin.com/company/datta-recruitment-consultancy-ltd
Sperry Partners Group,4,http://www.sperry-partners.com,http://www.linkedin.com/company/sperry-partners-uk
Cloud 7,4,http://www.cloudseven.uk,http://www.linkedin.com/company/cloud-7-uk
Evolve ERP,6,http://www.evolve-erp.co.uk,http://www.linkedin.com/company/evolve-erp
Linksap Europe Ltd,32,http://www.linksap.eu,http://www.linkedin.com/company/linksap-europe-ltd
Select Solutions Recruitment Ltd,1,http://www.select-solutions-recruitment.com,http://www.linkedin.com/company/select-solutions-recruitment-ltd
Chase International Ltd,5,http://www.chaseman.co.uk,http://www.linkedin.com/company/chase-international-ltd
R3R Ltd,6,http://www.r3r.co.uk,http://www.linkedin.com/company/r3r-ltd
Staffworx,10,http://www.staffworx.co.uk,http://www.linkedin.com/company/staffworx-ltd
Blackwaters Consulting Group,14,http://www.blackwaters.co.uk,http://www.linkedin.com/company/blackwaters-cg
Haig&Co,5,http://www.haigand.co,http://www.linkedin.com/company/haig&co
Morgan Levy International,16,,http://www.linkedin.com/company/morgan-levy-international
IBSC LTD,21,http://www.ibs-c.co.uk,http://www.linkedin.com/company/ibs-consulting-ltd
Arcadian Executives,2,http://www.arcadianexecs.com,http://www.linkedin.com/company/arcadianexecutives
Higher Frog Limited,4,http://www.careervictory.co.uk,http://www.linkedin.com/company/higherfrog
JGA Recruitment Group | B Corp™,55,http://www.jgarecruitment.com,http://www.linkedin.com/company/jgarecruitment
Marlin Green Part of K2 Partnering,7,,http://www.linkedin.com/company/marlin-green-ltd
GMS International Resources,8,http://www.gmsint.co.uk,http://www.linkedin.com/company/gms-international-resources
Techlink Partners,7,http://www.techlinkpartners.com,http://www.linkedin.com/company/techlink-partners
Frost Tech,2,,http://www.linkedin.com/company/frost-tech-rec
ONESOURCE,5,http://www.one-source.ai,http://www.linkedin.com/company/one-source-tech
Rocc Madden,1,http://www.roccmadden.com,http://www.linkedin.com/company/roccmadden
Ceniyan Consulting Group,1,http://www.ceniyan.com,http://www.linkedin.com/company/ceniyan-consulting-group
ERP Supply - 🔵SAP Staffing Agency🔵,2,http://www.erpsupply.co.uk,http://www.linkedin.com/company/erp-supply
G&L Consulting,16,http://www.testersnet.com,http://www.linkedin.com/company/gnlconsulting
Elite IT Recruitment,14,http://www.eliteitrecruitment.com,http://www.linkedin.com/company/eliteitrecruitment
ZAPP Associates,2,http://www.zapp-associates.com,http://www.linkedin.com/company/zapp-associates
Island Loch Solutions,1,http://www.islandloch.com,http://www.linkedin.com/company/islandlochsolutions
Peppra Consulting,1,http://www.peppraconsulting.com,http://www.linkedin.com/company/peppra-consulting
Empiric,190,http://www.empiric.com,http://www.linkedin.com/company/empiric-solutions
IT Talent,91,http://www.it-talent.co.uk,http://www.linkedin.com/company/it-talent
Absolute Applications,16,http://www.absolute-applications.com,http://www.linkedin.com/company/absolute-applications
Full Circle Consulting,2,http://www.full-cc.com,http://www.linkedin.com/company/full-circle-consulting
Magnus & Wolf,2,http://www.magnuswolf.co.uk,http://www.linkedin.com/company/magnus-wolf
Gaia ERP,1,http://www.gaiaerp.com,http://www.linkedin.com/company/gaia-erp
KES EU,3,http://www.keseu.com,http://www.linkedin.com/company/kes-eu
EST23,3,http://www.est23.de,http://www.linkedin.com/company/est23
PRIMA Partners Global,4,http://www.primapartners.de,http://www.linkedin.com/company/prima-partners-global
Metamorphic Search,5,http://www.metamorphic.co.uk,http://www.linkedin.com/company/metamorphicsearch
Moonbees - Smart Recruiting Talents,7,http://www.moonbees.net,http://www.linkedin.com/company/moonbees-smart-recruiting-talents
Identifyerp,1,,http://www.linkedin.com/company/identifyerp
Pesaro - IT Expertise Delivered,10,http://www.pesaro.co.uk,http://www.linkedin.com/company/pesaro
Time Sourcing,7,http://www.time-sourcing.com,http://www.linkedin.com/company/time-sourcing
Discoverer International,43,http://www.discovererinternational.com,http://www.linkedin.com/company/discoverer-international
Global PPL,4,,http://www.linkedin.com/company/global-ppl
Freelance Recruitment Services (FRS),21,http://www.frs-online.com,http://www.linkedin.com/company/frs-freelance-recruitment-services-
Wolsey Associates Ltd (SalesAlive.Com),1,http://www.salesalive.com,http://www.linkedin.com/company/wolsey-associates-ltd-salesalive.com-
Conspicuous,29,http://www.conspicuous.com,http://www.linkedin.com/company/conspicuous-ltd
ERP Group,2,http://www.erpintl.com,http://www.linkedin.com/company/erpinternational
Paramount Enterprizes Ltd,1,http://www.paramountrecruit.co.uk,http://www.linkedin.com/company/paramount-enterprizes-ltd
GTS Global,10,http://www.apexithunters.com,http://www.linkedin.com/company/apex-it-hunters
Career Hub,13,http://www.career-hub.co.uk,http://www.linkedin.com/company/career-hub
Cruit Ltd,2,http://www.cruit.uk,http://www.linkedin.com/company/cruit-ltd
BOSS Professional Services,200,http://www.bossprofessional.com,http://www.linkedin.com/company/boss-professional-services
KnownFour Ltd,4,http://www.knownfour.com,http://www.linkedin.com/company/knownfour
CDZ Group,5,http://www.cdz-group.com,http://www.linkedin.com/company/cdz-group
Stott and May,140,http://www.stottandmay.com,http://www.linkedin.com/company/stott-and-may
NNOURA LIMITED,4,http://www.nnouralimited.com,http://www.linkedin.com/company/nnoura-limited
Pond Recruit,1,http://www.pondrecruit.com,http://www.linkedin.com/company/pond-star-jobs
Harrington Boyd,11,http://www.harringtonboyd.com,http://www.linkedin.com/company/harrington-boyd
StaffHost digital,17,http://www.staffhostdigital.com,http://www.linkedin.com/company/staffhost
VirtoTech,15,http://www.virtotech.com,http://www.linkedin.com/company/virtotech
Dynamic Search Solutions,14,http://www.dynamicsearch.co.uk,http://www.linkedin.com/company/dynamic-search-solutions
TALENT PLAY,1,http://www.talentplay.co.uk,http://www.linkedin.com/company/talentplay-uk
Lacorta Resourcing,1,http://www.lacorta.co.uk,http://www.linkedin.com/company/lacorta-resourcing
Copilot Consulting Limited,1,http://www.copilot-consulting.net,http://www.linkedin.com/company/copilot-consulting-limited
Neo-Data Recruitment,1,http://www.neo-data.co.uk,http://www.linkedin.com/company/neo-data-recruitment-ltd
Hublance,65,http://www.hublance.com,http://www.linkedin.com/company/hublance
Montash,89,http://www.montash.com,http://www.linkedin.com/company/montash
Cavendish Professionals,93,http://www.cavendishprofessionals.com,http://www.linkedin.com/company/cavendish-professionals
Cappo Search,1,http://www.capposearch.com,http://www.linkedin.com/company/capposearch
Alexandra Paul Recruitment,2,http://www.alexandrapaulrecruitment.com,http://www.linkedin.com/company/alexandra-paul-recruitment-llp
Workday HRIS / HCM / HR & Workday  Finance Leaders,1,http://www.starsea.uk,http://www.linkedin.com/company/starsea-recruitment-uk
DXR International,3,http://www.dxrint.com,http://www.linkedin.com/company/dxr-international
Mosaic IT Recruitment,2,http://www.mosaicrec-it.co.uk,http://www.linkedin.com/company/mosaic-it-recruitment
Enterprise Developer Group,2,http://www.e-developergroup.com,http://www.linkedin.com/company/enterprise-developer-group
BPXnet,2,http://www.bpxnet.com,http://www.linkedin.com/company/bpxnet
Human2Human,1,http://www.h2h.careers,http://www.linkedin.com/company/human2human-h2h
TekWissen UK,2,,http://www.linkedin.com/company/tekwissen-uk
Whitehall Resources,88,http://www.whitehallresources.com,http://www.linkedin.com/company/whitehall-resources
Zintek Search,4,http://www.zinteksearch.com,http://www.linkedin.com/company/zintek-search
Senovo IT Ltd,36,http://www.senovo-it.com,http://www.linkedin.com/company/senovo-it-ltd
Eurobase People,23,http://www.eurobasepeople.com,http://www.linkedin.com/company/eurobase-people
"Pegasus ERP Solutions ""PEGASUS""",5,http://www.pegasus-resource.com,http://www.linkedin.com/company/pegasus-resource
SterlandOliver Ltd,3,http://www.sterlandoliver.com,http://www.linkedin.com/company/sterlandoliver-td
Noble Recruiting,21,http://www.noblerecruiting.co.uk,http://www.linkedin.com/company/noble-recruiting
Palm IT Services,5,http://www.palmitservices.com,http://www.linkedin.com/company/palm-it-services
HW3,150,http://www.hwthree.com,http://www.linkedin.com/company/thepowerofteams
Halogen Group,7,http://www.halogengroup.co.uk,http://www.linkedin.com/company/halogen-group
Mackenzie Jones,15,http://www.mackenziejones.co.uk,http://www.linkedin.com/company/mackenzie-jones
KLS Solutions,1,http://www.klsrecruitment.co.uk,http://www.linkedin.com/company/klssolutions
Divinitas IT Ltd,1,http://www.divinitas-it.com,http://www.linkedin.com/company/divinitas-it
Logix Resourcing,12,http://www.logixresourcing.com,http://www.linkedin.com/company/logix-it-recruitment
QHQ Ltd,9,http://www.q-hq.com,http://www.linkedin.com/company/qhq-ltd
ERP Associates,21,http://www.erp-associates.com,http://www.linkedin.com/company/erpassociates
Talenterprize,4,http://www.talenterprize.com,http://www.linkedin.com/company/talenterprize
IFIT Solutions,28,http://www.ifit-solutions.com,http://www.linkedin.com/company/ifit-solutions-ltd
Fischer Wolff International Ltd,1,http://www.fischerwolff.com,http://www.linkedin.com/company/fischer-wolff-international-ltd
Mascalls Associates,3,http://www.mascallsassociates.com,http://www.linkedin.com/company/mascalls-associates
Cloud SAP,4,http://www.cloudsapworld.com,http://www.linkedin.com/company/cloud-sap
IT REC,5,http://www.it-rec.co.uk,http://www.linkedin.com/company/it-rec
WRK digital,11,http://www.wrkdigital.co.uk,http://www.linkedin.com/company/wrk-digital
Jobtima Recruitment,10,http://www.jobtima.com,http://www.linkedin.com/company/jobtima-recruitment
SteerByte Resourcing,1,,http://www.linkedin.com/company/steerbyte-resourcing
BIIT Recruitment,9,http://www.biit.co.uk,http://www.linkedin.com/company/biit-uk
JSR Global Solutions,3,http://www.jsr-solutions.com,http://www.linkedin.com/company/jsr-global-solutions
RPMT,1,http://www.rpmttrading.com,http://www.linkedin.com/company/rpmt-trading
Integrate ERP,3,http://www.integrate-erp.com,http://www.linkedin.com/company/integrate-erp
NGP - SAP & Salesforce Experts,7,http://www.ngpeurope.com,http://www.linkedin.com/company/nextgenpartnersrec
SAP Contractors,30,http://www.sapcontractors.com,http://www.linkedin.com/company/sapcontractors
DSR Global,52,http://www.dsr-global.com,http://www.linkedin.com/company/dsr-global
Nicholas Bernard Ltd,13,http://www.nicholas-bernard.com,http://www.linkedin.com/company/nicholas-bernard-ltd
Enterprise Digital Resources,15,http://www.enterprisedigitalresources.com,http://www.linkedin.com/company/enterprise-digital-resources
NU Concept Solutions,12,http://www.nuconcept.solutions,http://www.linkedin.com/company/nu-concept-solutions
InterEx Group,150,http://www.interex-group.com,http://www.linkedin.com/company/interex-group
Talent Lake IT,1,http://www.talentlakeit.com,http://www.linkedin.com/company/talent-lake-it
Talento Limited,1,http://www.talentoapp.com,http://www.linkedin.com/company/talento-app
Future Energy Resourcing Ltd.,2,http://www.futureenergyresourcing.com,http://www.linkedin.com/company/future-energy-resourcing
Viasoft Limited,2,http://www.viasoft.co.uk,http://www.linkedin.com/company/viasoft-limited
The Project Bench,2,http://www.theprojectbench.co.uk,http://www.linkedin.com/company/the-project-bench
Aspect Resources Ltd,2,http://www.aspectresources.co.uk,http://www.linkedin.com/company/aspect-resources-ltd
Hudson Rose Recruitment,1,http://www.hudsonroserec.com,http://www.linkedin.com/company/hudson-rose-recruitment
AP Staffing,2,http://www.ap-staffing.com,http://www.linkedin.com/company/ap-staffing
Pure IT,13,http://www.pure-it.co.uk,http://www.linkedin.com/company/pure-it_2
Washington Frank International,180,http://www.washingtonfrank.com,http://www.linkedin.com/company/washington-frank-international
Archers Recruitment Group Technology And Finance,2,http://www.archers-rg.com,http://www.linkedin.com/company/archers-recruitment-group-technology-and-finance
Opus Resourcing Ltd,3,http://www.opusresourcing.com,http://www.linkedin.com/company/opus-resourcing-ltd
Osirian Consulting,12,http://www.osirian.com,http://www.linkedin.com/company/osirian-consulting
Hiree,8,,http://www.linkedin.com/company/c4commerce
Portland Resourcing - Global Change Management Specialists,26,http://www.portlandresourcing.com,http://www.linkedin.com/company/portlandresourcing
Williams McKinley,3,http://www.williams-mckinley.com,http://www.linkedin.com/company/williams-mckinley
Maxegan Recruitment,7,http://www.maxeganrecruitment.com,http://www.linkedin.com/company/maxegan-recruitment
mbos,21,http://www.mbos.eu,http://www.linkedin.com/company/mbos
Roc Search,160,http://www.roc-search.com,http://www.linkedin.com/company/roc-search
SAP Super Users,3,http://www.sapsuperusers.co.uk,http://www.linkedin.com/company/sap-super-users
Actaris Recruitment Ltd,6,http://www.actarisrecruitment.com,http://www.linkedin.com/company/actaris-recruitment-ltd
Uniting Enterprise Europe,2,,http://www.linkedin.com/company/uniting-enterprise
Solarix Talent,1,http://www.solarixinfotech.com,
MCA Recruitment,2,http://www.mcarecruitment.com,http://www.linkedin.com/company/mcarecruitment
Blondell Consulting,3,http://www.blondell-consulting.com,http://www.linkedin.com/company/blondell-consulting
Total Resourcing Ltd,4,http://www.totalresourcing.co.uk,http://www.linkedin.com/company/total-resourcing-ltd
NR SUPPLY LTD,5,http://www.nr-supply.com,http://www.linkedin.com/company/nr-supply-ltd
Cloud2 Consult,4,http://www.cloud2.net,http://www.linkedin.com/company/cloud2-consult
CDH Professionals,3,http://www.cdhprofessionals.com,http://www.linkedin.com/company/cdh-professionals
